Temperature (C)	Pressure (MPa)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
36.490	0.10132	0.99351	1.0065	2.7535	2.7554	9.4626	73.668	75.290	1522.7	-0.21415	698.23	0.62378	liquid
36.673	0.10132	0.99345	1.0066	2.7673	2.7692	9.5072	73.654	75.290	1523.1	-0.21403	695.73	0.62403	liquid
36.857	0.10132	0.99338	1.0067	2.7811	2.7830	9.5517	73.639	75.290	1523.4	-0.21392	693.24	0.62428	liquid
37.040	0.10132	0.99332	1.0067	2.7949	2.7968	9.5962	73.624	75.290	1523.7	-0.21381	690.77	0.62453	liquid
37.223	0.10132	0.99325	1.0068	2.8088	2.8106	9.6407	73.610	75.290	1524.1	-0.21370	688.31	0.62478	liquid
37.407	0.10132	0.99318	1.0069	2.8226	2.8244	9.6852	73.595	75.290	1524.4	-0.21359	685.86	0.62503	liquid
37.590	0.10132	0.99312	1.0069	2.8364	2.8382	9.7296	73.580	75.290	1524.7	-0.21348	683.43	0.62528	liquid
37.773	0.10132	0.99305	1.0070	2.8502	2.8520	9.7740	73.565	75.291	1525.1	-0.21337	681.01	0.62553	liquid
37.957	0.10132	0.99298	1.0071	2.8640	2.8658	9.8184	73.550	75.291	1525.4	-0.21326	678.61	0.62577	liquid
38.140	0.10132	0.99291	1.0071	2.8778	2.8796	9.8627	73.535	75.291	1525.7	-0.21315	676.22	0.62602	liquid
38.323	0.10132	0.99285	1.0072	2.8916	2.8934	9.9071	73.521	75.291	1526.0	-0.21304	673.84	0.62627	liquid
38.506	0.10132	0.99278	1.0073	2.9054	2.9072	9.9514	73.506	75.291	1526.4	-0.21293	671.48	0.62651	liquid
38.690	0.10132	0.99271	1.0073	2.9192	2.9210	9.9956	73.491	75.291	1526.7	-0.21282	669.13	0.62676	liquid
38.873	0.10132	0.99264	1.0074	2.9330	2.9348	10.040	73.476	75.292	1527.0	-0.21271	666.80	0.62700	liquid
39.056	0.10132	0.99257	1.0075	2.9468	2.9486	10.084	73.461	75.292	1527.3	-0.21260	664.48	0.62724	liquid
39.240	0.10132	0.99250	1.0076	2.9606	2.9624	10.128	73.446	75.292	1527.6	-0.21249	662.17	0.62749	liquid
39.423	0.10132	0.99244	1.0076	2.9744	2.9762	10.172	73.431	75.292	1527.9	-0.21238	659.87	0.62773	liquid
39.606	0.10132	0.99237	1.0077	2.9882	2.9900	10.217	73.416	75.293	1528.2	-0.21227	657.59	0.62797	liquid
39.790	0.10132	0.99230	1.0078	3.0020	3.0038	10.261	73.401	75.293	1528.6	-0.21216	655.32	0.62821	liquid
39.973	0.10132	0.99223	1.0078	3.0158	3.0176	10.305	73.386	75.293	1528.9	-0.21205	653.06	0.62845	liquid
40.156	0.10132	0.99216	1.0079	3.0296	3.0314	10.349	73.371	75.294	1529.2	-0.21194	650.81	0.62869	liquid
40.340	0.10132	0.99209	1.0080	3.0434	3.0452	10.393	73.355	75.294	1529.5	-0.21183	648.58	0.62893	liquid
40.523	0.10132	0.99202	1.0080	3.0572	3.0590	10.437	73.340	75.294	1529.8	-0.21173	646.36	0.62917	liquid
40.706	0.10132	0.99194	1.0081	3.0710	3.0728	10.481	73.325	75.295	1530.1	-0.21162	644.16	0.62940	liquid
40.890	0.10132	0.99187	1.0082	3.0848	3.0866	10.525	73.310	75.295	1530.4	-0.21151	641.96	0.62964	liquid
41.073	0.10132	0.99180	1.0083	3.0986	3.1004	10.569	73.295	75.295	1530.6	-0.21140	639.78	0.62988	liquid
41.256	0.10132	0.99173	1.0083	3.1124	3.1142	10.613	73.280	75.296	1530.9	-0.21129	637.61	0.63011	liquid
41.440	0.10132	0.99166	1.0084	3.1262	3.1280	10.657	73.264	75.296	1531.2	-0.21118	635.45	0.63035	liquid
41.623	0.10132	0.99159	1.0085	3.1400	3.1418	10.701	73.249	75.297	1531.5	-0.21108	633.30	0.63058	liquid
41.806	0.10132	0.99151	1.0086	3.1538	3.1557	10.744	73.234	75.297	1531.8	-0.21097	631.16	0.63082	liquid
41.990	0.10132	0.99144	1.0086	3.1676	3.1695	10.788	73.219	75.297	1532.1	-0.21086	629.04	0.63105	liquid
42.173	0.10132	0.99137	1.0087	3.1814	3.1833	10.832	73.203	75.298	1532.4	-0.21075	626.93	0.63128	liquid
42.356	0.10132	0.99129	1.0088	3.1952	3.1971	10.876	73.188	75.298	1532.6	-0.21065	624.83	0.63151	liquid
42.539	0.10132	0.99122	1.0089	3.2090	3.2109	10.919	73.173	75.299	1532.9	-0.21054	622.74	0.63174	liquid
42.723	0.10132	0.99115	1.0089	3.2228	3.2247	10.963	73.157	75.299	1533.2	-0.21043	620.66	0.63197	liquid
42.906	0.10132	0.99107	1.0090	3.2366	3.2385	11.007	73.142	75.300	1533.5	-0.21032	618.60	0.63220	liquid
43.089	0.10132	0.99100	1.0091	3.2504	3.2523	11.051	73.126	75.300	1533.7	-0.21022	616.54	0.63243	liquid
43.273	0.10132	0.99093	1.0092	3.2642	3.2661	11.094	73.111	75.301	1534.0	-0.21011	614.50	0.63266	liquid
43.456	0.10132	0.99085	1.0092	3.2780	3.2799	11.138	73.096	75.301	1534.3	-0.21000	612.46	0.63289	liquid
43.639	0.10132	0.99078	1.0093	3.2918	3.2937	11.181	73.080	75.302	1534.5	-0.20990	610.44	0.63312	liquid
43.823	0.10132	0.99070	1.0094	3.3056	3.3075	11.225	73.065	75.302	1534.8	-0.20979	608.43	0.63334	liquid
44.006	0.10132	0.99063	1.0095	3.3195	3.3213	11.268	73.049	75.303	1535.1	-0.20968	606.43	0.63357	liquid
44.189	0.10132	0.99055	1.0095	3.3333	3.3351	11.312	73.034	75.304	1535.3	-0.20958	604.44	0.63379	liquid
44.373	0.10132	0.99047	1.0096	3.3471	3.3489	11.355	73.018	75.304	1535.6	-0.20947	602.46	0.63402	liquid
44.556	0.10132	0.99040	1.0097	3.3609	3.3627	11.399	73.002	75.305	1535.8	-0.20936	600.49	0.63424	liquid
44.739	0.10132	0.99032	1.0098	3.3747	3.3765	11.442	72.987	75.305	1536.1	-0.20926	598.54	0.63447	liquid
44.923	0.10132	0.99025	1.0099	3.3885	3.3903	11.486	72.971	75.306	1536.3	-0.20915	596.59	0.63469	liquid
45.106	0.10132	0.99017	1.0099	3.4023	3.4041	11.529	72.956	75.307	1536.6	-0.20904	594.65	0.63491	liquid
45.289	0.10132	0.99009	1.0100	3.4161	3.4179	11.573	72.940	75.307	1536.8	-0.20894	592.72	0.63513	liquid
45.473	0.10132	0.99001	1.0101	3.4299	3.4317	11.616	72.924	75.308	1537.1	-0.20883	590.81	0.63535	liquid
45.656	0.10132	0.98994	1.0102	3.4437	3.4455	11.659	72.909	75.309	1537.3	-0.20873	588.90	0.63557	liquid
45.839	0.10132	0.98986	1.0102	3.4575	3.4593	11.702	72.893	75.309	1537.6	-0.20862	587.01	0.63579	liquid
46.022	0.10132	0.98978	1.0103	3.4713	3.4731	11.746	72.877	75.310	1537.8	-0.20852	585.12	0.63601	liquid
46.206	0.10132	0.98970	1.0104	3.4851	3.4870	11.789	72.862	75.311	1538.1	-0.20841	583.24	0.63623	liquid
46.389	0.10132	0.98962	1.0105	3.4989	3.5008	11.832	72.846	75.312	1538.3	-0.20831	581.38	0.63645	liquid
46.572	0.10132	0.98955	1.0106	3.5127	3.5146	11.875	72.830	75.312	1538.5	-0.20820	579.52	0.63667	liquid
46.756	0.10132	0.98947	1.0106	3.5265	3.5284	11.919	72.814	75.313	1538.8	-0.20809	577.67	0.63688	liquid
46.939	0.10132	0.98939	1.0107	3.5403	3.5422	11.962	72.799	75.314	1539.0	-0.20799	575.83	0.63710	liquid
47.122	0.10132	0.98931	1.0108	3.5541	3.5560	12.005	72.783	75.315	1539.2	-0.20788	574.01	0.63732	liquid
47.306	0.10132	0.98923	1.0109	3.5679	3.5698	12.048	72.767	75.315	1539.4	-0.20778	572.19	0.63753	liquid
47.489	0.10132	0.98915	1.0110	3.5818	3.5836	12.091	72.751	75.316	1539.7	-0.20768	570.38	0.63775	liquid
47.672	0.10132	0.98907	1.0111	3.5956	3.5974	12.134	72.735	75.317	1539.9	-0.20757	568.58	0.63796	liquid
47.856	0.10132	0.98899	1.0111	3.6094	3.6112	12.177	72.719	75.318	1540.1	-0.20747	566.79	0.63817	liquid
48.039	0.10132	0.98891	1.0112	3.6232	3.6250	12.220	72.704	75.319	1540.3	-0.20736	565.01	0.63838	liquid
48.222	0.10132	0.98883	1.0113	3.6370	3.6388	12.263	72.688	75.319	1540.6	-0.20726	563.24	0.63860	liquid
48.406	0.10132	0.98875	1.0114	3.6508	3.6526	12.306	72.672	75.320	1540.8	-0.20715	561.47	0.63881	liquid
48.589	0.10132	0.98867	1.0115	3.6646	3.6664	12.349	72.656	75.321	1541.0	-0.20705	559.72	0.63902	liquid
48.772	0.10132	0.98859	1.0115	3.6784	3.6802	12.392	72.640	75.322	1541.2	-0.20694	557.97	0.63923	liquid
48.956	0.10132	0.98850	1.0116	3.6922	3.6941	12.435	72.624	75.323	1541.4	-0.20684	556.24	0.63944	liquid
49.139	0.10132	0.98842	1.0117	3.7060	3.7079	12.478	72.608	75.324	1541.6	-0.20674	554.51	0.63965	liquid
49.322	0.10132	0.98834	1.0118	3.7198	3.7217	12.520	72.592	75.325	1541.8	-0.20663	552.79	0.63986	liquid
49.505	0.10132	0.98826	1.0119	3.7336	3.7355	12.563	72.576	75.326	1542.0	-0.20653	551.08	0.64006	liquid
49.689	0.10132	0.98818	1.0120	3.7474	3.7493	12.606	72.560	75.326	1542.2	-0.20642	549.38	0.64027	liquid
49.872	0.10132	0.98809	1.0121	3.7613	3.7631	12.649	72.544	75.327	1542.4	-0.20632	547.69	0.64048	liquid
50.055	0.10132	0.98801	1.0121	3.7751	3.7769	12.691	72.528	75.328	1542.6	-0.20622	546.01	0.64068	liquid
50.239	0.10132	0.98793	1.0122	3.7889	3.7907	12.734	72.512	75.329	1542.8	-0.20611	544.33	0.64089	liquid
50.422	0.10132	0.98784	1.0123	3.8027	3.8045	12.777	72.496	75.330	1543.0	-0.20601	542.67	0.64109	liquid
50.605	0.10132	0.98776	1.0124	3.8165	3.8183	12.820	72.480	75.331	1543.2	-0.20590	541.01	0.64130	liquid
50.789	0.10132	0.98768	1.0125	3.8303	3.8321	12.862	72.464	75.332	1543.4	-0.20580	539.36	0.64150	liquid
50.972	0.10132	0.98759	1.0126	3.8441	3.8460	12.905	72.447	75.333	1543.6	-0.20570	537.72	0.64170	liquid
51.155	0.10132	0.98751	1.0126	3.8579	3.8598	12.947	72.431	75.334	1543.8	-0.20559	536.08	0.64191	liquid
51.339	0.10132	0.98742	1.0127	3.8717	3.8736	12.990	72.415	75.335	1544.0	-0.20549	534.46	0.64211	liquid
51.522	0.10132	0.98734	1.0128	3.8855	3.8874	13.033	72.399	75.336	1544.2	-0.20539	532.84	0.64231	liquid
51.705	0.10132	0.98725	1.0129	3.8993	3.9012	13.075	72.383	75.337	1544.4	-0.20528	531.23	0.64251	liquid
51.889	0.10132	0.98717	1.0130	3.9132	3.9150	13.118	72.367	75.338	1544.5	-0.20518	529.63	0.64271	liquid
52.072	0.10132	0.98708	1.0131	3.9270	3.9288	13.160	72.350	75.339	1544.7	-0.20508	528.04	0.64291	liquid
52.255	0.10132	0.98700	1.0132	3.9408	3.9426	13.202	72.334	75.340	1544.9	-0.20498	526.45	0.64311	liquid
52.439	0.10132	0.98691	1.0133	3.9546	3.9564	13.245	72.318	75.341	1545.1	-0.20487	524.87	0.64331	liquid
52.622	0.10132	0.98683	1.0133	3.9684	3.9702	13.287	72.302	75.342	1545.3	-0.20477	523.30	0.64351	liquid
52.805	0.10132	0.98674	1.0134	3.9822	3.9841	13.330	72.285	75.343	1545.4	-0.20467	521.74	0.64370	liquid
52.989	0.10132	0.98665	1.0135	3.9960	3.9979	13.372	72.269	75.345	1545.6	-0.20456	520.19	0.64390	liquid
53.172	0.10132	0.98657	1.0136	4.0098	4.0117	13.414	72.253	75.346	1545.8	-0.20446	518.64	0.64410	liquid
53.355	0.10132	0.98648	1.0137	4.0236	4.0255	13.457	72.236	75.347	1545.9	-0.20436	517.10	0.64429	liquid
53.538	0.10132	0.98639	1.0138	4.0375	4.0393	13.499	72.220	75.348	1546.1	-0.20426	515.57	0.64449	liquid
53.722	0.10132	0.98631	1.0139	4.0513	4.0531	13.541	72.204	75.349	1546.3	-0.20415	514.05	0.64468	liquid
53.905	0.10132	0.98622	1.0140	4.0651	4.0669	13.584	72.187	75.350	1546.4	-0.20405	512.53	0.64487	liquid
54.088	0.10132	0.98613	1.0141	4.0789	4.0807	13.626	72.171	75.351	1546.6	-0.20395	511.02	0.64507	liquid
54.272	0.10132	0.98604	1.0142	4.0927	4.0946	13.668	72.155	75.352	1546.8	-0.20385	509.52	0.64526	liquid
54.455	0.10132	0.98596	1.0142	4.1065	4.1084	13.710	72.138	75.354	1546.9	-0.20374	508.02	0.64545	liquid
54.638	0.10132	0.98587	1.0143	4.1203	4.1222	13.752	72.122	75.355	1547.1	-0.20364	506.54	0.64564	liquid
54.822	0.10132	0.98578	1.0144	4.1342	4.1360	13.794	72.106	75.356	1547.2	-0.20354	505.06	0.64584	liquid
55.005	0.10132	0.98569	1.0145	4.1480	4.1498	13.837	72.089	75.357	1547.4	-0.20344	503.58	0.64603	liquid
55.188	0.10132	0.98560	1.0146	4.1618	4.1636	13.879	72.073	75.358	1547.5	-0.20334	502.12	0.64622	liquid
55.372	0.10132	0.98551	1.0147	4.1756	4.1774	13.921	72.056	75.360	1547.7	-0.20323	500.66	0.64641	liquid
55.555	0.10132	0.98542	1.0148	4.1894	4.1913	13.963	72.040	75.361	1547.8	-0.20313	499.21	0.64659	liquid
55.738	0.10132	0.98533	1.0149	4.2032	4.2051	14.005	72.023	75.362	1548.0	-0.20303	497.76	0.64678	liquid
55.922	0.10132	0.98524	1.0150	4.2170	4.2189	14.047	72.007	75.363	1548.1	-0.20293	496.33	0.64697	liquid
56.105	0.10132	0.98515	1.0151	4.2309	4.2327	14.089	71.990	75.364	1548.3	-0.20283	494.89	0.64716	liquid
56.288	0.10132	0.98506	1.0152	4.2447	4.2465	14.131	71.974	75.366	1548.4	-0.20272	493.47	0.64734	liquid
56.472	0.10132	0.98497	1.0153	4.2585	4.2603	14.173	71.957	75.367	1548.6	-0.20262	492.05	0.64753	liquid
56.655	0.10132	0.98488	1.0153	4.2723	4.2742	14.214	71.941	75.368	1548.7	-0.20252	490.64	0.64771	liquid
56.838	0.10132	0.98479	1.0154	4.2861	4.2880	14.256	71.924	75.370	1548.8	-0.20242	489.24	0.64790	liquid
57.021	0.10132	0.98470	1.0155	4.2999	4.3018	14.298	71.908	75.371	1549.0	-0.20232	487.84	0.64808	liquid
57.205	0.10132	0.98461	1.0156	4.3137	4.3156	14.340	71.891	75.372	1549.1	-0.20221	486.45	0.64827	liquid
57.388	0.10132	0.98452	1.0157	4.3276	4.3294	14.382	71.875	75.373	1549.3	-0.20211	485.07	0.64845	liquid
57.571	0.10132	0.98443	1.0158	4.3414	4.3432	14.424	71.858	75.375	1549.4	-0.20201	483.69	0.64863	liquid
57.755	0.10132	0.98434	1.0159	4.3552	4.3571	14.465	71.841	75.376	1549.5	-0.20191	482.32	0.64882	liquid
57.938	0.10132	0.98424	1.0160	4.3690	4.3709	14.507	71.825	75.377	1549.6	-0.20181	480.95	0.64900	liquid
58.121	0.10132	0.98415	1.0161	4.3828	4.3847	14.549	71.808	75.379	1549.8	-0.20171	479.59	0.64918	liquid
58.305	0.10132	0.98406	1.0162	4.3967	4.3985	14.591	71.791	75.380	1549.9	-0.20161	478.24	0.64936	liquid
58.488	0.10132	0.98397	1.0163	4.4105	4.4123	14.632	71.775	75.381	1550.0	-0.20150	476.90	0.64954	liquid
58.671	0.10132	0.98387	1.0164	4.4243	4.4261	14.674	71.758	75.383	1550.1	-0.20140	475.56	0.64972	liquid
58.855	0.10132	0.98378	1.0165	4.4381	4.4400	14.716	71.741	75.384	1550.3	-0.20130	474.22	0.64990	liquid
59.038	0.10132	0.98369	1.0166	4.4519	4.4538	14.757	71.725	75.386	1550.4	-0.20120	472.90	0.65007	liquid
59.221	0.10132	0.98359	1.0167	4.4657	4.4676	14.799	71.708	75.387	1550.5	-0.20110	471.58	0.65025	liquid
59.405	0.10132	0.98350	1.0168	4.4796	4.4814	14.840	71.691	75.388	1550.6	-0.20100	470.26	0.65043	liquid
59.588	0.10132	0.98341	1.0169	4.4934	4.4952	14.882	71.675	75.390	1550.7	-0.20090	468.95	0.65061	liquid
59.771	0.10132	0.98331	1.0170	4.5072	4.5091	14.923	71.658	75.391	1550.8	-0.20080	467.65	0.65078	liquid
59.955	0.10132	0.98322	1.0171	4.5210	4.5229	14.965	71.641	75.393	1550.9	-0.20069	466.36	0.65096	liquid
60.138	0.10132	0.98312	1.0172	4.5349	4.5367	15.006	71.625	75.394	1551.1	-0.20059	465.07	0.65113	liquid
60.321	0.10132	0.98303	1.0173	4.5487	4.5505	15.048	71.608	75.396	1551.2	-0.20049	463.78	0.65131	liquid
60.504	0.10132	0.98294	1.0174	4.5625	4.5643	15.089	71.591	75.397	1551.3	-0.20039	462.50	0.65148	liquid
60.688	0.10132	0.98284	1.0175	4.5763	4.5782	15.131	71.574	75.399	1551.4	-0.20029	461.23	0.65165	liquid
60.871	0.10132	0.98275	1.0176	4.5901	4.5920	15.172	71.557	75.400	1551.5	-0.20019	459.96	0.65183	liquid
61.054	0.10132	0.98265	1.0177	4.6040	4.6058	15.213	71.541	75.401	1551.6	-0.20009	458.70	0.65200	liquid
61.238	0.10132	0.98255	1.0178	4.6178	4.6196	15.255	71.524	75.403	1551.7	-0.19999	457.45	0.65217	liquid
61.421	0.10132	0.98246	1.0179	4.6316	4.6335	15.296	71.507	75.405	1551.8	-0.19989	456.20	0.65234	liquid
61.604	0.10132	0.98236	1.0180	4.6454	4.6473	15.337	71.490	75.406	1551.9	-0.19978	454.95	0.65251	liquid
61.788	0.10132	0.98227	1.0181	4.6592	4.6611	15.379	71.473	75.408	1552.0	-0.19968	453.72	0.65268	liquid
61.971	0.10132	0.98217	1.0182	4.6731	4.6749	15.420	71.457	75.409	1552.1	-0.19958	452.48	0.65285	liquid
62.154	0.10132	0.98207	1.0183	4.6869	4.6888	15.461	71.440	75.411	1552.2	-0.19948	451.26	0.65302	liquid
62.338	0.10132	0.98198	1.0184	4.7007	4.7026	15.502	71.423	75.412	1552.2	-0.19938	450.03	0.65319	liquid
62.521	0.10132	0.98188	1.0185	4.7145	4.7164	15.544	71.406	75.414	1552.3	-0.19928	448.82	0.65336	liquid
62.704	0.10132	0.98178	1.0186	4.7284	4.7302	15.585	71.389	75.415	1552.4	-0.19918	447.61	0.65352	liquid
62.888	0.10132	0.98169	1.0187	4.7422	4.7441	15.626	71.372	75.417	1552.5	-0.19908	446.40	0.65369	liquid
63.071	0.10132	0.98159	1.0188	4.7560	4.7579	15.667	71.355	75.418	1552.6	-0.19898	445.20	0.65386	liquid
63.254	0.10132	0.98149	1.0189	4.7698	4.7717	15.708	71.339	75.420	1552.7	-0.19888	444.01	0.65402	liquid
63.438	0.10132	0.98139	1.0190	4.7837	4.7855	15.749	71.322	75.422	1552.8	-0.19878	442.82	0.65419	liquid
63.621	0.10132	0.98129	1.0191	4.7975	4.7994	15.790	71.305	75.423	1552.8	-0.19868	441.64	0.65435	liquid
63.804	0.10132	0.98120	1.0192	4.8113	4.8132	15.831	71.288	75.425	1552.9	-0.19858	440.46	0.65452	liquid
63.988	0.10132	0.98110	1.0193	4.8251	4.8270	15.872	71.271	75.427	1553.0	-0.19847	439.29	0.65468	liquid
64.171	0.10132	0.98100	1.0194	4.8390	4.8408	15.913	71.254	75.428	1553.1	-0.19837	438.12	0.65484	liquid
64.354	0.10132	0.98090	1.0195	4.8528	4.8547	15.954	71.237	75.430	1553.2	-0.19827	436.96	0.65501	liquid
64.537	0.10132	0.98080	1.0196	4.8666	4.8685	15.995	71.220	75.431	1553.2	-0.19817	435.80	0.65517	liquid
64.721	0.10132	0.98070	1.0197	4.8805	4.8823	16.036	71.203	75.433	1553.3	-0.19807	434.65	0.65533	liquid
64.904	0.10132	0.98060	1.0198	4.8943	4.8961	16.077	71.186	75.435	1553.4	-0.19797	433.50	0.65549	liquid
65.087	0.10132	0.98050	1.0199	4.9081	4.9100	16.118	71.169	75.437	1553.4	-0.19787	432.36	0.65565	liquid
65.271	0.10132	0.98040	1.0200	4.9219	4.9238	16.159	71.152	75.438	1553.5	-0.19777	431.22	0.65581	liquid
65.454	0.10132	0.98030	1.0201	4.9358	4.9376	16.200	71.135	75.440	1553.6	-0.19767	430.09	0.65597	liquid
65.637	0.10132	0.98020	1.0202	4.9496	4.9515	16.241	71.118	75.442	1553.6	-0.19757	428.96	0.65613	liquid
65.821	0.10132	0.98010	1.0203	4.9634	4.9653	16.281	71.101	75.443	1553.7	-0.19747	427.84	0.65629	liquid
66.004	0.10132	0.98000	1.0204	4.9773	4.9791	16.322	71.084	75.445	1553.8	-0.19737	426.73	0.65645	liquid
66.187	0.10132	0.97990	1.0205	4.9911	4.9930	16.363	71.067	75.447	1553.8	-0.19727	425.61	0.65660	liquid
66.371	0.10132	0.97980	1.0206	5.0049	5.0068	16.404	71.050	75.449	1553.9	-0.19717	424.51	0.65676	liquid
66.554	0.10132	0.97970	1.0207	5.0188	5.0206	16.445	71.033	75.450	1553.9	-0.19707	423.40	0.65692	liquid
66.737	0.10132	0.97960	1.0208	5.0326	5.0344	16.485	71.016	75.452	1554.0	-0.19697	422.31	0.65707	liquid
66.921	0.10132	0.97950	1.0209	5.0464	5.0483	16.526	70.999	75.454	1554.0	-0.19687	421.21	0.65723	liquid
67.104	0.10132	0.97940	1.0210	5.0602	5.0621	16.567	70.982	75.456	1554.1	-0.19676	420.13	0.65738	liquid
67.287	0.10132	0.97929	1.0211	5.0741	5.0759	16.607	70.965	75.457	1554.1	-0.19666	419.04	0.65754	liquid
67.471	0.10132	0.97919	1.0213	5.0879	5.0898	16.648	70.948	75.459	1554.2	-0.19656	417.96	0.65769	liquid
67.654	0.10132	0.97909	1.0214	5.1017	5.1036	16.688	70.931	75.461	1554.2	-0.19646	416.89	0.65784	liquid
67.837	0.10132	0.97899	1.0215	5.1156	5.1174	16.729	70.914	75.463	1554.3	-0.19636	415.82	0.65800	liquid
68.020	0.10132	0.97888	1.0216	5.1294	5.1313	16.770	70.897	75.465	1554.3	-0.19626	414.76	0.65815	liquid
68.204	0.10132	0.97878	1.0217	5.1432	5.1451	16.810	70.879	75.467	1554.4	-0.19616	413.70	0.65830	liquid
68.387	0.10132	0.97868	1.0218	5.1571	5.1589	16.851	70.862	75.468	1554.4	-0.19606	412.64	0.65845	liquid
68.570	0.10132	0.97858	1.0219	5.1709	5.1728	16.891	70.845	75.470	1554.5	-0.19596	411.59	0.65860	liquid
68.754	0.10132	0.97847	1.0220	5.1848	5.1866	16.932	70.828	75.472	1554.5	-0.19586	410.54	0.65875	liquid
68.937	0.10132	0.97837	1.0221	5.1986	5.2005	16.972	70.811	75.474	1554.5	-0.19576	409.50	0.65890	liquid
69.120	0.10132	0.97826	1.0222	5.2124	5.2143	17.012	70.794	75.476	1554.6	-0.19566	408.46	0.65905	liquid
69.304	0.10132	0.97816	1.0223	5.2263	5.2281	17.053	70.777	75.478	1554.6	-0.19556	407.43	0.65920	liquid
69.487	0.10132	0.97806	1.0224	5.2401	5.2420	17.093	70.760	75.480	1554.7	-0.19546	406.40	0.65935	liquid
69.670	0.10132	0.97795	1.0225	5.2539	5.2558	17.134	70.743	75.482	1554.7	-0.19536	405.38	0.65949	liquid
69.854	0.10132	0.97785	1.0227	5.2678	5.2696	17.174	70.725	75.484	1554.7	-0.19526	404.36	0.65964	liquid
70.037	0.10132	0.97774	1.0228	5.2816	5.2835	17.214	70.708	75.486	1554.8	-0.19516	403.34	0.65979	liquid
70.220	0.10132	0.97764	1.0229	5.2954	5.2973	17.255	70.691	75.488	1554.8	-0.19505	402.33	0.65993	liquid
70.404	0.10132	0.97753	1.0230	5.3093	5.3111	17.295	70.674	75.489	1554.8	-0.19495	401.33	0.66008	liquid
70.587	0.10132	0.97743	1.0231	5.3231	5.3250	17.335	70.657	75.491	1554.8	-0.19485	400.32	0.66022	liquid
70.770	0.10132	0.97732	1.0232	5.3370	5.3388	17.375	70.640	75.493	1554.9	-0.19475	399.33	0.66037	liquid
70.954	0.10132	0.97722	1.0233	5.3508	5.3527	17.416	70.622	75.495	1554.9	-0.19465	398.33	0.66051	liquid
71.137	0.10132	0.97711	1.0234	5.3646	5.3665	17.456	70.605	75.497	1554.9	-0.19455	397.34	0.66066	liquid
71.320	0.10132	0.97701	1.0235	5.3785	5.3803	17.496	70.588	75.499	1554.9	-0.19445	396.36	0.66080	liquid
71.503	0.10132	0.97690	1.0236	5.3923	5.3942	17.536	70.571	75.501	1554.9	-0.19435	395.37	0.66094	liquid
71.687	0.10132	0.97679	1.0238	5.4062	5.4080	17.576	70.554	75.503	1555.0	-0.19425	394.40	0.66108	liquid
71.870	0.10132	0.97669	1.0239	5.4200	5.4219	17.617	70.536	75.505	1555.0	-0.19415	393.42	0.66122	liquid
72.053	0.10132	0.97658	1.0240	5.4338	5.4357	17.657	70.519	75.508	1555.0	-0.19405	392.45	0.66137	liquid
72.237	0.10132	0.97647	1.0241	5.4477	5.4496	17.697	70.502	75.510	1555.0	-0.19395	391.49	0.66151	liquid
72.420	0.10132	0.97637	1.0242	5.4615	5.4634	17.737	70.485	75.512	1555.0	-0.19385	390.53	0.66165	liquid
72.603	0.10132	0.97626	1.0243	5.4754	5.4772	17.777	70.468	75.514	1555.0	-0.19375	389.57	0.66179	liquid
72.787	0.10132	0.97615	1.0244	5.4892	5.4911	17.817	70.450	75.516	1555.0	-0.19365	388.62	0.66192	liquid
72.970	0.10132	0.97605	1.0245	5.5031	5.5049	17.857	70.433	75.518	1555.1	-0.19354	387.67	0.66206	liquid
73.153	0.10132	0.97594	1.0247	5.5169	5.5188	17.897	70.416	75.520	1555.1	-0.19344	386.72	0.66220	liquid
73.337	0.10132	0.97583	1.0248	5.5307	5.5326	17.937	70.399	75.522	1555.1	-0.19334	385.78	0.66234	liquid
73.520	0.10132	0.97572	1.0249	5.5446	5.5465	17.977	70.382	75.524	1555.1	-0.19324	384.84	0.66247	liquid
73.703	0.10132	0.97561	1.0250	5.5584	5.5603	18.017	70.364	75.526	1555.1	-0.19314	383.91	0.66261	liquid
73.887	0.10132	0.97550	1.0251	5.5723	5.5741	18.057	70.347	75.528	1555.1	-0.19304	382.98	0.66275	liquid
74.070	0.10132	0.97540	1.0252	5.5861	5.5880	18.097	70.330	75.531	1555.1	-0.19294	382.05	0.66288	liquid
74.253	0.10132	0.97529	1.0253	5.6000	5.6018	18.136	70.313	75.533	1555.1	-0.19284	381.13	0.66302	liquid
74.437	0.10132	0.97518	1.0255	5.6138	5.6157	18.176	70.295	75.535	1555.1	-0.19274	380.21	0.66315	liquid
74.620	0.10132	0.97507	1.0256	5.6277	5.6295	18.216	70.278	75.537	1555.1	-0.19264	379.30	0.66329	liquid
74.803	0.10132	0.97496	1.0257	5.6415	5.6434	18.256	70.261	75.539	1555.1	-0.19254	378.39	0.66342	liquid
74.987	0.10132	0.97485	1.0258	5.6554	5.6572	18.296	70.243	75.542	1555.1	-0.19243	377.48	0.66355	liquid
75.170	0.10132	0.97474	1.0259	5.6692	5.6711	18.335	70.226	75.544	1555.1	-0.19233	376.58	0.66368	liquid
