Temperature (C)	Pressure (MPa)	Density (g/ml)	Volume (ml/g)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
8.0759	0.10132	0.99985	1.0002	0.61149	0.61331	2.2062	75.598	75.638	1439.5	-0.23410	1381.6	0.57467	liquid
8.2592	0.10132	0.99983	1.0002	0.62535	0.62718	2.2555	75.588	75.631	1440.2	-0.23394	1374.1	0.57507	liquid
8.4426	0.10132	0.99982	1.0002	0.63921	0.64104	2.3047	75.579	75.625	1441.0	-0.23379	1366.6	0.57547	liquid
8.6259	0.10132	0.99981	1.0002	0.65308	0.65490	2.3539	75.569	75.619	1441.7	-0.23364	1359.3	0.57586	liquid
8.8092	0.10132	0.99980	1.0002	0.66694	0.66876	2.4031	75.559	75.613	1442.5	-0.23348	1351.9	0.57626	liquid
8.9925	0.10132	0.99978	1.0002	0.68080	0.68263	2.4522	75.549	75.608	1443.2	-0.23333	1344.7	0.57665	liquid
9.1758	0.10132	0.99977	1.0002	0.69466	0.69649	2.5014	75.539	75.602	1444.0	-0.23318	1337.5	0.57704	liquid
9.3591	0.10132	0.99976	1.0002	0.70852	0.71034	2.5504	75.529	75.596	1444.7	-0.23303	1330.4	0.57743	liquid
9.5425	0.10132	0.99974	1.0003	0.72238	0.72420	2.5995	75.519	75.591	1445.4	-0.23288	1323.3	0.57781	liquid
9.7258	0.10132	0.99973	1.0003	0.73623	0.73806	2.6485	75.509	75.585	1446.2	-0.23273	1316.3	0.57820	liquid
9.9091	0.10132	0.99971	1.0003	0.75009	0.75191	2.6974	75.499	75.580	1446.9	-0.23258	1309.3	0.57859	liquid
10.092	0.10132	0.99969	1.0003	0.76394	0.76577	2.7464	75.489	75.574	1447.6	-0.23243	1302.4	0.57897	liquid
10.276	0.10132	0.99968	1.0003	0.77780	0.77962	2.7953	75.479	75.569	1448.4	-0.23228	1295.6	0.57935	liquid
10.459	0.10132	0.99966	1.0003	0.79165	0.79347	2.8441	75.469	75.564	1449.1	-0.23213	1288.8	0.57974	liquid
10.642	0.10132	0.99964	1.0004	0.80550	0.80733	2.8929	75.459	75.559	1449.8	-0.23198	1282.1	0.58012	liquid
10.826	0.10132	0.99963	1.0004	0.81935	0.82118	2.9417	75.448	75.554	1450.5	-0.23184	1275.4	0.58049	liquid
11.009	0.10132	0.99961	1.0004	0.83320	0.83503	2.9905	75.438	75.549	1451.2	-0.23169	1268.8	0.58087	liquid
11.192	0.10132	0.99959	1.0004	0.84705	0.84887	3.0392	75.428	75.544	1451.9	-0.23154	1262.3	0.58125	liquid
11.376	0.10132	0.99957	1.0004	0.86090	0.86272	3.0879	75.417	75.539	1452.6	-0.23139	1255.8	0.58162	liquid
11.559	0.10132	0.99955	1.0005	0.87474	0.87657	3.1365	75.407	75.534	1453.3	-0.23125	1249.3	0.58200	liquid
11.742	0.10132	0.99953	1.0005	0.88859	0.89042	3.1852	75.396	75.529	1454.0	-0.23110	1242.9	0.58237	liquid
11.926	0.10132	0.99951	1.0005	0.90243	0.90426	3.2337	75.386	75.525	1454.7	-0.23096	1236.6	0.58274	liquid
12.109	0.10132	0.99949	1.0005	0.91628	0.91811	3.2823	75.375	75.520	1455.4	-0.23081	1230.3	0.58311	liquid
12.292	0.10132	0.99947	1.0005	0.93012	0.93195	3.3308	75.365	75.516	1456.1	-0.23067	1224.1	0.58348	liquid
12.476	0.10132	0.99944	1.0006	0.94397	0.94579	3.3793	75.354	75.511	1456.8	-0.23052	1217.9	0.58385	liquid
12.659	0.10132	0.99942	1.0006	0.95781	0.95963	3.4277	75.343	75.507	1457.5	-0.23038	1211.8	0.58422	liquid
12.842	0.10132	0.99940	1.0006	0.97165	0.97348	3.4761	75.333	75.502	1458.2	-0.23024	1205.7	0.58458	liquid
13.025	0.10132	0.99938	1.0006	0.98549	0.98732	3.5245	75.322	75.498	1458.8	-0.23009	1199.6	0.58495	liquid
13.209	0.10132	0.99935	1.0006	0.99933	1.0012	3.5729	75.311	75.494	1459.5	-0.22995	1193.6	0.58531	liquid
13.392	0.10132	0.99933	1.0007	1.0132	1.0150	3.6212	75.300	75.490	1460.2	-0.22981	1187.7	0.58567	liquid
13.575	0.10132	0.99931	1.0007	1.0270	1.0288	3.6695	75.289	75.486	1460.9	-0.22967	1181.8	0.58603	liquid
13.759	0.10132	0.99928	1.0007	1.0408	1.0427	3.7177	75.278	75.482	1461.5	-0.22953	1176.0	0.58639	liquid
13.942	0.10132	0.99926	1.0007	1.0547	1.0565	3.7659	75.267	75.478	1462.2	-0.22939	1170.2	0.58675	liquid
14.125	0.10132	0.99923	1.0008	1.0685	1.0703	3.8141	75.256	75.474	1462.8	-0.22924	1164.4	0.58711	liquid
14.309	0.10132	0.99920	1.0008	1.0824	1.0842	3.8622	75.245	75.470	1463.5	-0.22910	1158.7	0.58747	liquid
14.492	0.10132	0.99918	1.0008	1.0962	1.0980	3.9103	75.234	75.466	1464.1	-0.22896	1153.0	0.58782	liquid
14.675	0.10132	0.99915	1.0008	1.1100	1.1118	3.9584	75.223	75.463	1464.8	-0.22883	1147.4	0.58818	liquid
14.859	0.10132	0.99912	1.0009	1.1239	1.1257	4.0065	75.212	75.459	1465.4	-0.22869	1141.8	0.58853	liquid
